item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000001,Research_Samples,20.4,22,15.2,3.9,88,N/A,672,Storage_Bay
000002,Fire_Extinguisher,20.5,17,34.1,5.94,86,N/A,327,Crew_Quarters
000003,Cooling_System,33.8,25.9,31.1,13.61,42,N/A,1510,Engineering_Bay
000004,Medical_Scanner,46.9,39.2,11,10.11,32,21-03-2026,75,Medical_Bay
000005,Emergency_Beacon,25.5,15.9,45.7,9.26,87,N/A,2406,Cockpit
000006,LED_Work_Light,44.6,11.9,43.3,11.49,18,N/A,3826,Engineering_Bay
000007,Laptop,14.5,21.1,27.5,4.21,89,N/A,4148,Crew_Quarters
000008,Microgravity_Lab_Kit,27,20.5,12.4,6,50,N/A,19,Lab
000009,Space_Suit,28.9,29.9,13,5.62,62,N/A,3532,Storage_Bay
000010,Navigation_Module,44.7,39.9,43.2,38.52,24,N/A,104,Command_Center
000011,Microgravity_Lab_Kit,17.4,14.5,24.8,9.1,64,N/A,79,Crew_Quarters
000012,Medical_Scanner,45.7,21.3,34.4,16.74,27,14-08-2026,2,Medical_Bay
000013,Research_Samples,13.6,19,23.5,3.5,98,N/A,2001,Lab
000014,Communication_Device,32.1,12.8,25.2,5.18,82,N/A,1297,Command_Center
000015,Emergency_Oxygen_Mask,10.7,30.4,18.2,2.96,75,N/A,441,Crew_Quarters
000016,Battery_Pack,16.8,28.7,37,8.92,72,N/A,148,External_Storage
000017,Medical_Scanner,14.1,17.2,34.4,4.17,77,26-01-2026,97,Medical_Bay
000018,EV_Suit_Battery,38.8,38.7,25.6,19.22,83,N/A,469,Airlock
000019,Water_Bottle,18.4,30.7,42.2,11.92,35,N/A,2938,Crew_Quarters
000020,Medical_Scanner,30.2,42.1,38.4,24.41,23,15-07-2025,14,Lab
000021,Vacuum_Sealed_Tools,45.2,14.2,22,7.06,55,N/A,3402,Maintenance_Bay
000022,Vacuum_Sealed_Tools,33.8,22.7,16.8,6.44,8,N/A,925,Storage_Bay
000023,First_Aid_Kit,25.9,12.3,20.4,9.8,62,N/A,93,Medical_Bay
000024,Lab_Microscope,14.4,43.5,26.5,8.3,50,N/A,1104,Lab
000025,Protein_Bars,24.8,18.9,47.4,11.11,13,N/A,623,Crew_Quarters
000026,CO2_Scrubber,14.8,32.7,35.3,8.54,30,N/A,620,Engineering_Bay
000027,Water_Bottle,49.5,41.1,37.6,38.25,62,N/A,1870,Storage_Bay
000028,Emergency_Beacon,34.8,31.5,43.7,23.95,8,N/A,127,Command_Center
000029,Helmet_Visor,17.3,49.5,40.1,17.17,37,N/A,2599,Crew_Quarters
000030,Solar_Panel,49.3,65.6,4.5,16.7,41,N/A,2346,External_Storage
000031,3D_Printer,34.6,31,38,20.38,78,N/A,809,Lab
000032,Oxygen_Cylinder,17.6,20.2,56.2,41.5,58,N/A,1550,Medical_Bay
000033,Seed_Packets,24.6,25,28.3,2.3,29,N/A,87,Lab
000034,Antibiotic_Supply,44.5,48.7,32.8,35.54,39,29-12-2026,3728,Medical_Bay
000035,Space_Suit,30,41,37.9,23.31,59,N/A,3557,Airlock
000036,Fire_Extinguisher,45.7,33.1,20.9,15.81,46,N/A,351,Crew_Quarters
000037,Handheld_Spectrometer,37.5,30.9,27.1,15.7,98,N/A,2566,Engineering_Bay
000038,CO2_Scrubber,46.3,48.4,48.7,54.57,60,N/A,197,Engineering_Bay
000039,Navigation_Module,17.9,45.9,14.5,5.96,17,N/A,3307,Command_Center
000040,LED_Work_Light,36.3,36.5,18.2,12.06,42,N/A,1483,Engineering_Bay
000041,Oxygen_Cylinder,24.6,17.2,49.5,41.3,73,N/A,2481,Crew_Quarters
